Daniel Kwak push up,,,,
time,wx,wy,wz,
7.56996011734009,-0.59,-0.04,-0.19,
7.57960414886475,-0.52,0.11,0.01,
7.59797215461731,-0.43,0.14,0.14,
7.60095834732056,-0.36,0.04,0.31,
7.60908222198486,-0.35,-0.06,0.41,
7.61914730072022,-0.32,0.03,0.37,
7.62900400161743,-0.21,0.4,0.29,
7.63909101486206,-0.1,0.82,0.11,
7.64889907836914,-0.01,0.84,-0.03,
7.65906119346619,0.07,0.37,-0.11,
7.66891002655029,0.1,-0.33,-0.16,
7.68003916740418,0.12,-0.85,-0.17,
7.69623708724976,0.2,-0.83,-0.19,
7.69862818717957,0.32,-0.29,-0.26,
7.70851421356201,0.43,0.38,-0.38,
7.71852827072144,0.47,0.63,-0.45,
7.72823214530945,0.42,0.31,-0.45,
7.73832130432129,0.32,-0.4,-0.38,
7.74795007705689,0.24,-1.04,-0.26,
7.75830602645874,0.23,-1.19,-0.15,
7.76811599731445,0.24,-0.8,-0.08,
7.77919316291809,0.23,-0.12,-0.04,
7.7955641746521,0.19,0.4,0.01,
7.79825210571289,0.15,0.49,0.07,
7.80765628814697,0.09,0.23,0.11,
7.81756019592285,0.01,-0.15,0.09,
7.82754135131836,-0.05,-0.34,0.07,
7.83756422996521,-0.01,-0.16,0.01,
7.84743213653564,0.11,0.28,-0.13,
7.85744714736939,0.18,0.68,-0.31,
7.86737728118897,0.14,0.67,-0.46,
7.87731504440308,0.04,0.21,-0.53,
7.89322018623352,-0.05,-0.48,-0.52,
7.89681816101074,-0.15,-1.04,-0.48,
7.90709018707275,-0.19,-1.26,-0.44,
7.91698217391968,-0.17,-1.14,-0.4,
7.92683815956116,-0.16,-0.8,-0.35,
7.93689632415772,-0.18,-0.4,-0.28,
7.94652819633484,-0.21,-0.06,-0.18,
7.95677518844605,-0.22,0.16,-0.11,
7.96662425994873,-0.24,0.25,-0.09,
7.97692203521729,-0.25,0.2,-0.06,
7.99309921264648,-0.25,0.11,-0.05,
7.99640011787415,-0.27,0.16,-0.07,
8.00623822212219,-0.27,0.42,-0.19,
8.01657724380493,-0.24,0.75,-0.39,
8.0260910987854,-0.27,0.86,-0.57,
8.03613233566284,-0.34,0.55,-0.69,
8.04662013053894,-0.41,-0.06,-0.73,
8.05600118637085,-0.45,-0.73,-0.74,
8.06611514091492,-0.47,-1.21,-0.71,
8.07571506500244,-0.47,-1.31,-0.66,
8.08691620826721,-0.48,-0.95,-0.64,
8.10379505157471,-0.49,-0.23,-0.67,
8.10626220703125,-0.48,0.47,-0.74,
8.11560201644898,-0.47,0.79,-0.77,
8.12547206878662,-0.46,0.59,-0.75,
8.13547134399414,-0.51,0.06,-0.71,
8.14522504806519,-0.6,-0.51,-0.65,
8.15555214881897,-0.66,-0.75,-0.6,
8.16528415679932,-0.71,-0.54,-0.57,
8.17527723312378,-0.73,-0.05,-0.59,
8.18630123138428,-0.76,0.43,-0.65,
8.20280027389526,-0.8,0.58,-0.7,
8.20525932312012,-0.85,0.38,-0.74,
8.21476721763611,-0.9,-0.03,-0.75,
8.22454309463501,-0.91,-0.45,-0.75,
8.23458623886108,-0.91,-0.71,-0.73,
8.24466705322266,-0.96,-0.78,-0.72,
8.25457119941711,-1.09,-0.65,-0.71,
8.26455402374268,-1.21,-0.36,-0.75,
8.27457118034363,-1.24,0.06,-0.8,
8.28461027145386,-1.21,0.44,-0.85,
8.30273008346558,-1.12,0.7,-0.89,
8.30523300170898,-1.08,0.77,-0.91,
8.31394529342651,-1.02,0.61,-0.91,
8.32397508621216,-0.9,0.16,-0.83,
8.33396434783936,-0.83,-0.47,-0.7,
8.34376120567322,-0.78,-1.06,-0.59,
8.35381817817688,-0.71,-1.44,-0.47,
8.36388301849365,-0.6,-1.54,-0.38,
8.37381505966187,-0.43,-1.31,-0.27,
8.38375425338745,-0.35,-0.89,-0.09,
8.40204429626465,-0.2,-0.47,0.1,
8.40445017814636,0.06,-0.12,0.29,
8.41350817680359,0.36,0.13,0.5,
8.42319631576538,0.56,0.2,0.67,
8.43330717086792,0.71,0.08,0.78,
8.44299721717835,0.82,-0.11,0.89,
8.45306825637817,0.86,-0.32,1,
8.46300220489502,0.98,-0.4,1,
8.47314834594727,1.16,-0.19,0.93,
8.48315334320068,1.25,0.27,0.87,
8.50155019760132,1.27,0.67,0.86,
8.50388813018799,1.33,0.83,0.9,
8.51237416267395,1.33,0.72,0.99,
8.52252221107483,1.26,0.39,0.99,
8.53258919715881,1.08,0.06,0.83,
8.54229831695557,0.93,-0.08,0.65,
8.55238723754883,0.97,-0.12,0.61,
8.56209516525269,1.16,-0.07,0.63,
8.57228517532349,1.29,0,0.71,
8.58211421966553,1.05,0,0.87,
8.59907221794128,0.8,-0.07,0.97,
8.60194301605225,0.74,0.03,0.91,
8.61187720298767,0.79,0.27,0.84,
8.62184429168701,0.83,0.41,0.76,
8.63168907165527,0.84,0.27,0.73,
8.64165019989014,0.71,-0.09,0.85,
8.65164422988892,0.67,-0.41,1.05,
8.66134405136108,0.59,-0.36,1.15,
8.67146825790405,0.44,0.09,1.13,
8.6816132068634,0.39,0.62,0.95,
8.69803905487061,0.4,0.95,0.57,
8.7011821269989,0.37,0.97,0.28,
8.71116518974304,0.21,0.55,0.39,
8.72128319740295,0.18,0.02,0.64,
8.7312593460083,0.15,-0.26,0.75,
8.74088621139526,0.13,-0.15,0.75,
8.75103425979614,0.19,0.25,0.48,
8.76090526580811,0.32,0.7,0.11,
8.77114915847778,0.25,0.76,-0.04,
8.78072619438171,0.12,0.29,0.05,
8.79852414131165,0.15,-0.32,0.11,
8.80122113227844,0.27,-0.56,0.12,
8.81026315689087,0.29,-0.23,0.08,
8.82032918930054,0.22,0.37,-0.06,
8.83029723167419,0.2,0.75,-0.33,
8.84014701843262,0.15,0.68,-0.46,
8.8501672744751,0.02,0.21,-0.37,
8.86019611358643,-0.09,-0.44,-0.23,
8.87007427215576,-0.15,-0.93,-0.11,
8.87979412078857,-0.16,-0.95,0,
8.89101219177246,-0.16,-0.51,0.09,
8.90734314918518,-0.14,0.18,0.21,
8.91017532348633,-0.11,0.81,0.28,
8.91958212852478,-0.06,1.15,0.3,
8.9295961856842,0,1.17,0.34,
8.9395022392273,0.04,1.01,0.31,
8.9497561454773,0.08,0.79,0.21,
8.95927906036377,0.13,0.67,0.07,
8.96932816505432,0.04,0.72,-0.11,
8.97929120063782,-0.08,0.71,-0.28,
8.99039912223816,-0.17,0.42,-0.42,
9.00693917274475,-0.28,-0.17,-0.45,
9.00975513458252,-0.48,-0.91,-0.36,
9.0189323425293,-0.68,-1.48,-0.15,
9.02882432937622,-0.79,-1.55,0.08,
9.03907632827759,-0.75,-0.98,0.28,
9.04875230789185,-0.67,0.1,0.49,
9.05852603912354,-0.69,1.05,0.58,
9.06861400604248,-0.72,1.29,0.61,
9.07862424850464,-0.78,0.83,0.81,
9.08868217468262,-0.79,0.16,1.04,
9.10604906082153,-0.73,-0.16,1.03,
9.10882520675659,-0.58,0.09,0.83,
9.11822605133057,-0.37,0.58,0.55,
9.12805223464966,-0.14,0.79,0.25,
9.13805103302002,0.06,0.58,-0.02,
9.1481032371521,0.24,0.15,-0.28,
9.15782523155212,0.32,-0.26,-0.45,
9.1681501865387,0.31,-0.58,-0.54,
9.17775201797485,0.33,-0.78,-0.6,
