time,wx,wy,wz
5.877861023,0.03,0.78,-0.62
5.880118132,0.08,0.48,-0.39
5.890751123,0.15,0.04,-0.2
5.899224281,0.12,-0.24,-0.12
5.910565138,0.1,-0.19,-0.17
5.919201136,0.01,-0.02,-0.21
5.929291248,-0.1,0.19,-0.21
5.939563274,-0.1,0.53,-0.29
5.951429129,-0.04,0.73,-0.24
5.960824013,0.07,0.72,-0.11
5.977285147,0.18,0.53,0.05
5.979029179,0.23,0.17,0.32
5.99015522,0.28,-0.17,0.52
5.999289989,0.32,-0.4,0.59
6.010028124,0.28,-0.28,0.58
6.019013166,0.17,0.14,0.43
6.029514313,0.07,0.48,0.31
6.039258003,0.06,0.65,0.26
6.050007105,0.09,0.61,0.3
6.060895205,0.16,0.45,0.42
6.077268124,0.29,0.2,0.58
6.079702139,0.41,-0.18,0.77
6.089735985,0.43,-0.43,0.84
6.098996162,0.29,-0.34,0.75
6.10963726,0.02,0.04,0.53
6.119259119,-0.22,0.46,0.21
6.129212141,-0.36,0.7,0
6.139447212,-0.3,0.64,-0.06
6.150948048,-0.13,0.41,-0.01
6.160515308,0.04,0.05,0.19
6.176948071,0.15,-0.37,0.43
6.179196119,0.07,-0.61,0.57
6.190161228,-0.15,-0.49,0.48
6.19881916,-0.38,-0.1,0.19
6.209931135,-0.55,0.19,-0.11
6.21887207,-0.58,0.39,-0.36
6.228983164,-0.51,0.48,-0.45
6.238827229,-0.42,0.36,-0.33
6.249941111,-0.36,-0.01,-0.11
6.260447025,-0.41,-0.38,0.12
6.275934219,-0.48,-0.49,0.19
6.278486252,-0.57,-0.35,0.14
6.289897203,-0.64,-0.09,0.03
6.298486233,-0.63,0.18,-0.1
6.309749126,-0.57,0.31,-0.14
6.318708181,-0.51,0.28,-0.07
6.328730106,-0.46,0.13,0.05
6.339501143,-0.52,-0.07,0.21
6.350942135,-0.61,-0.17,0.29
6.359504223,-0.65,-0.08,0.23
6.375374317,-0.58,0.01,0.18
6.379044056,-0.48,0.08,0.17
6.389697075,-0.39,0.07,0.22
6.398535252,-0.34,-0.01,0.34
6.409601212,-0.39,-0.13,0.5
6.418473244,-0.58,-0.24,0.6
6.428279161,-0.81,-0.19,0.51
6.438511133,-0.94,0.03,0.31
6.450035095,-0.91,0.24,0.13
6.459609985,-0.85,0.31,0.04
6.476497173,-0.78,0.26,0.06
6.478769302,-0.73,0.15,0.18
6.489440203,-0.75,-0.03,0.4
6.498282194,-0.85,-0.24,0.61
6.509301186,-1.01,-0.34,0.72
6.518053055,-1.11,-0.27,0.68
6.528168201,-1.17,-0.01,0.6
6.538042068,-1.24,0.25,0.54
6.549376011,-1.24,0.33,0.49
6.559596062,-1.25,0.32,0.52
6.576323032,-1.31,0.25,0.63
6.579122066,-1.39,0.14,0.79
6.589463234,-1.47,0.05,0.95
6.598219156,-1.6,-0.01,1.09
6.609189034,-1.69,0.01,1.17
6.617904186,-1.78,0.12,1.23
6.628074169,-1.84,0.25,1.24
6.637735128,-1.83,0.35,1.24
6.649846077,-1.84,0.35,1.25
6.659662247,-1.87,0.23,1.26
6.675875187,-1.83,0.05,1.27
6.678655148,-1.67,-0.17,1.24
6.689154148,-1.5,-0.4,1.16
6.698101044,-1.33,-0.59,0.97
6.708859205,-1.27,-0.62,0.66
6.717965126,-1.19,-0.43,0.37
6.728229046,-1.05,-0.08,0.16
6.737869263,-0.82,0.28,0.12
6.748625278,-0.55,0.45,0.14
6.758210182,-0.33,0.34,0.11
6.774485111,-0.12,0.08,-0.04
6.778689146,0.05,-0.03,-0.18
6.788786173,0.11,0.08,-0.26
6.797715187,0.12,0.22,-0.33
6.808310032,0.12,0.3,-0.4
6.81805706,0.13,0.26,-0.43
6.827818155,0.25,0.1,-0.44
6.837413311,0.37,-0.09,-0.45
6.849845171,0.53,-0.22,-0.44
6.859327316,0.7,-0.3,-0.44
6.875952244,0.83,-0.34,-0.54
6.878385067,0.94,-0.33,-0.7
6.888932228,1.1,-0.28,-0.92
6.89786005,1.23,-0.12,-1.13
6.908497095,1.36,0.05,-1.29
6.917518139,1.43,0.13,-1.37
6.927663088,1.47,0.14,-1.38
6.937873125,1.54,0.12,-1.35
6.948502064,1.59,0.1,-1.27
6.958734989,1.77,0.08,-1.08
6.975277185,1.93,0.05,-0.78
6.978010178,2.04,-0.25,-0.54
6.988529205,2.11,-0.9,-0.41
6.997182131,2.21,-1.41,-0.48
7.008414268,2.32,-1.43,-0.67
7.017158985,2.25,-0.92,-0.79
7.027313232,2.26,-0.19,-0.85
7.037079096,2.27,0.47,-0.7
7.049530029,2.17,0.56,-0.32
7.058756113,2.15,-0.11,-0.14
