time,wx (rad/s),wy (rad/s),wz (rad/s)
3.728,0.88,0.57,1.09
3.751,0.78,0.38,0.99
3.752,0.57,0.2,0.92
3.753,0.27,0.01,0.88
3.753,0.1,-0.11,0.91
3.753,0,-0.22,0.96
3.753,-0.03,-0.29,1.02
3.756,0,-0.32,1.06
3.759,0.06,-0.28,1.07
3.764,0.08,-0.18,1.06
3.768,0.08,-0.05,1.03
3.771,0.06,0.08,0.99
3.776,0.03,0.19,0.95
3.781,0.03,0.21,0.93
3.783,0.06,0.18,0.92
3.788,0.09,0.14,0.91
3.791,0.12,0.11,0.89
3.796,0.12,0.1,0.88
3.8,0.12,0.12,0.88
3.803,0.14,0.14,0.89
3.807,0.18,0.18,0.9
3.811,0.22,0.22,0.9
3.816,0.29,0.27,0.87
3.82,0.33,0.3,0.83
3.823,0.37,0.33,0.78
3.827,0.39,0.36,0.72
3.833,0.42,0.38,0.65
3.835,0.43,0.38,0.61
3.839,0.43,0.37,0.57
3.852,0.42,0.35,0.55
3.853,0.42,0.32,0.52
3.853,0.42,0.29,0.48
3.856,0.44,0.27,0.43
3.862,0.45,0.25,0.38
3.877,0.47,0.23,0.32
3.878,0.47,0.18,0.23
3.878,0.44,0.14,0.17
3.879,0.4,0.11,0.13
3.88,0.37,0.08,0.09
3.883,0.37,0.06,0.07
3.887,0.37,0.04,0.05
3.891,0.36,0.03,0.04
3.898,0.34,0.02,0.02
3.899,0.3,0.02,-0.01
3.903,0.25,0.03,-0.04
3.907,0.17,0.03,-0.07
3.913,0.1,0.01,-0.1
3.915,0.05,-0.02,-0.11
3.919,0,-0.07,-0.09
3.923,-0.04,-0.12,-0.07
3.927,-0.07,-0.21,-0.02
3.931,-0.09,-0.27,0.01
3.936,-0.12,-0.32,0.04
3.939,-0.17,-0.33,0.07
3.943,-0.21,-0.3,0.1
3.948,-0.24,-0.24,0.12
3.951,-0.25,-0.16,0.14
3.955,-0.26,-0.07,0.16
3.964,-0.27,0.03,0.16
3.966,-0.27,0.15,0.14
3.967,-0.27,0.25,0.12
3.971,-0.27,0.36,0.09
3.975,-0.27,0.46,0.05
3.98,-0.29,0.54,0.02
3.983,-0.31,0.59,0
3.987,-0.32,0.57,0
3.991,-0.32,0.51,0.01
4.002,-0.33,0.43,0.01
4.003,-0.37,0.33,0.01
4.003,-0.4,0.28,0
4.008,-0.43,0.23,-0.04
4.012,-0.46,0.19,-0.08
4.025,-0.48,0.15,-0.15
4.027,-0.48,0.12,-0.19
4.027,-0.48,0.09,-0.23
4.028,-0.48,0.06,-0.25
4.036,-0.49,0.04,-0.25
4.037,-0.52,0.04,-0.25
4.039,-0.54,0.06,-0.24
4.043,-0.57,0.07,-0.24
4.048,-0.6,0.08,-0.24
4.051,-0.61,0.06,-0.25
4.055,-0.61,0.02,-0.27
4.059,-0.6,-0.02,-0.28
4.064,-0.6,-0.05,-0.29
4.067,-0.6,-0.07,-0.29
4.071,-0.61,-0.08,-0.28
4.075,-0.63,-0.07,-0.26
4.08,-0.63,-0.06,-0.25
4.083,-0.64,-0.05,-0.25
4.088,-0.64,-0.04,-0.27
4.091,-0.64,-0.03,-0.3
4.097,-0.63,-0.02,-0.33
4.1,-0.62,-0.02,-0.37
4.103,-0.61,-0.03,-0.42
4.107,-0.6,-0.06,-0.46
4.111,-0.58,-0.12,-0.51
4.117,-0.57,-0.16,-0.54
4.12,-0.55,-0.19,-0.56
4.123,-0.52,-0.22,-0.57
4.127,-0.5,-0.23,-0.58
4.136,-0.47,-0.24,-0.61
4.137,-0.46,-0.22,-0.63
4.139,-0.45,-0.19,-0.65
4.143,-0.45,-0.16,-0.66
4.162,-0.44,-0.12,-0.67
4.164,-0.44,-0.1,-0.68
4.165,-0.45,-0.08,-0.67
4.165,-0.46,-0.08,-0.67
4.165,-0.47,-0.09,-0.67
4.167,-0.48,-0.14,-0.69
